Ubicación,Código de moneda,CPV prom.,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Todas las conv.,Clics,CTR,Porcentaje de conv.,Conversiones,Costo/conv.
"4.0|km|Super [Sucursal: MENDOZA – Hipermercado Godoy Cruz] | Super S.A., Joaquín V. González, Godoy Cruz, Mendoza",ARS,0,"46,91",5378097,9687,"0,18%","26,04","252291,3","573,17",9687,"0,18%","0,65%","63,17","3993,73"
"10.0|km|San Juan, San Juan",ARS,0,"2809,55",89288,27241,"30,51%","9,21","250859,1","14915,04",27241,"30,51%","37,67%","10263,04","24,44"
"4.0|km|Hipermercado Super, Avenida General Roca, San Miguel de Tucumán, Tucumán",ARS,0,"108,49",2294818,3222,"0,14%","77,27","248954,97",29,3222,"0,14%","0,03%",1,"248954,97"
"4.0|km|Hipermercado Super Acceso Norte, Emilio Castelar, San Miguel de Tucumán, Tucumán",ARS,0,"92,25",2691825,3746,"0,14%","66,29","248322,67",69,3746,"0,14%","0,05%",2,"124161,33"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"80,52",3077553,10229,"0,33%","24,22","247795,81","2530,55",10229,"0,33%","23,39%","2392,55","103,57"
"10.0|km|Paseo Super – Rivera | Grupo Casino, Manuel de Falla, Córdoba",ARS,"1,08","400,18",616055,284901,"46,25%","0,87","246532,83",323,1045,"0,17%",0%,1,"246532,83"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,"2,93","906,87",270903,74291,"27,42%","3,31","245674,88","827,58",2480,"0,92%","0,48%","354,41","693,18"
"San Juan, Provincia de San Juan",ARS,0,"66,72",3661736,10937,"0,3%","22,34","244328,91","1582,21",10937,"0,3%","8,49%","928,21","263,23"
"6.0|km|Super, Boulevard Oroño, Rosario, Santa Fe",ARS,"0,88","438,85",556570,319746,"57,45%","0,76","244252,2","401,05",153,"0,03%","0,01%","38,05","6418,53"
Posadas,ARS,0,"168,38",1442789,34187,"2,37%","7,11","242937,85","29587,45",33551,"2,33%","4,24%","1449,22","167,63"
Provincia de Córdoba,ARS,0,"80,68",2994713,20715,"0,69%","11,66","241599,32","1596,11",20700,"0,69%","5,46%","1130,11","213,78"
"2.0|km|Manantial, Tucumán",ARS,0,"3519,85",68460,18292,"26,72%","13,17","240969,04","8579,6",18292,"26,72%","5,17%","946,24","254,66"
3.0|km|Google My Business locations,ARS,0,"68,77",3496859,11335,"0,32%","21,22","240478,77","4278,45",11335,"0,32%","24,37%","2762,45","87,05"
"4.0|km|Paseo Super – General Paz | Grupo Casino, Super, Córdoba",ARS,0,"250,98",957576,3347,"0,35%","71,8","240327,64",56,3347,"0,35%","0,12%",4,"60081,91"
"7.0|km|hipermercado cerca de Salta, Salta",ARS,"0,86","422,17",567598,319222,"56,24%","0,75","239623,88","226,58",185,"0,03%",0%,"14,58","16430,3"
